word,freq
妖舞,2
yowuchan,2
combine,9
middle,30
ombre,3
roots,4
types,9
jump,7
graffiti,4
sprayed,1
handpainted,1
ornate,2
designs,9
surface,10
kitty,2
hearts,11
nc,2
pulpriot,2
adlydesign,2
fits,8
standout,2
whimsical,2
skilled,1
sprayin,1
clipin,1
extensions,3
believe,11
sticking,4
accentuating,1
assets,2
lends,3
feminine,10
sport,2
hairstyle,8
length,5
texture,14
waves,7
loose,3
blowout,5
midlength,1
bet,14
heat,5
protectant,1
wait,39
70,5
dry,27
concentrator,1
extension,1
nozzle,2
blowdrying,2
allinone,1
brush,33
wrap,3
oneinch,1
sections,4
round,10
downward,4
cuticle,2
bounce,1
curls,4
updos,2
ultrahigh,1
pony,1
ponytail,2
extensionsanother,1
updo,4
pigtails,5
prepared,9
fifth,1
grade,1
barrettes,5
faceframing,3
tendrils,1
understated,3
braids,2
australian,4
belpipsqueekinsaigon,2
kick,5
space,16
buns,3
reminiscent,2
princess,4
leia,1
pigtail,2
twist,4
coil,1
bun,2
secure,2
bobby,1
pins,1
scrunchy,1
bangs,13
curtain,4
bottleneck,1
bang,5
shorter,3
brows,18
sits,2
jaw,9
perfectly,16
highmaintenance,1
lay,5
cut,17
flowing,8
traditionally,2
aligns,4
bobs,1
pixie,2
cuts,6
bob,1
jagged,1
tend,36
masculine,6
𝓔𝓶,2
dreamygirlxoxo,2
rounder,1
slimming,2
balances,2
clips,3
vintagelooking,1
resin,1
sweet,27
butterfly,2
saw,5
clipped,1
temples,2
headbands,1
supereasy,4
femininity,2
everyday,16
flowered,1
topknot,1
bunny,2
animal,8
fluffy,8
scrunchies,4
ponies,1
justincase,1
silk,1
brands,8
prevent,12
breakage,1
melcia,2
6d6vil6,2
adorable,9
bonafide,3
filtersthe,11
complete,12
born,10
sign,53
passion,10
jibe,1
fellow,5
pisces,68
surprisingly,3
emotionally,4
values,2
connect,15
personal,16
element,4
dealing,6
scorpiopisces,1
worthwhile,1
whos,35
married,4
seven,2
years,54
reputation,4
ive,37
heart,17
sleep,21
future,7
deeply,3
romantic,16
bond,7
sparks,3
fly,4
soulmate,2
connected,4
immersed,1
piscess,1
calm,5
demeanor,1
temper,2
aggression,3
insecure,1
overcome,9
excellent,15
leaders,3
action,17
hesitation,1
lean,6
organization,2
missed,3
rideordie,6
bffs,5
relies,1
listener,1
validates,1
overly,12
drive,10
indecisive,3
direction,12
art,30
spirituality,1
unusual,16
heady,1
philosophy,2
occasionally,4
tough,22
alike,6
carried,4
dream,8
execute,1
engage,6
conversations,1
shell,7
softens,2
exterior,1
ties,1
bind,1
borders,2
material,2
manage,12
grow,11
individuals,3
filterstrue,1
soulmates,2
crucial,5
ruin,12
focal,6
sunset,30
exactly,41
learning,7
relight,7
useful,5
pocket,13
broken,8
rainy,3
uk,4
california,2
admittedly,3
generally,16
wish,11
bruce,1
almighty,1
bluer,1
selected,6
cloud,5
intriguing,2
coverage,3
replicate,3
draw,17
hyperrealistic,1
genuine,10
increases,1
decreases,1
recreate,2
elsewhere,1
current,4
enhancing,4
had,46
minor,7
phones,31
exclusively,2
vibrance,6
affecting,1
rest,36
repainting,2
precisely,2
oranges,2
repaint,2
overlap,1
backdrop,65
preloaded,7
cover,20
matches,7
persons,3
factune,2
amount,15
onto,16
softness,2
adjusted,2
imitate,1
specially,1
lovely,8
changed,3
skies,2
underused,1
valuable,2
skill,5
sunrise,10
fit,19
filtersedit,1
surprising,3
virgo,38
independent,4
af,6
strongwilled,2
coughstubborncough,1
logical,3
competitive,3
patience,4
ferocity,1
virgin,1
stack,3
nitpicky,1
perfectionloving,1
agrees,1
virgos,7
worldview,2
seriously,48
hold,44
words,32
problem,36
attention,69
crave,3
stay,29
partner,15
forgive,2
hurtful,1
breaking,7
aloof,2
bother,4
invites,1
introverted,3
secretive,1
attracted,4
physically,1
traits,3
powercouple,2
tugofwar,1
holds,3
tight,4
opinions,2
disagreements,1
small,33
unimportant,1
charts,4
binge,1
netflix,14
documentary,1
